"#time","redshift1","redshift2"
0,9.52E-05,8.15E-05
0.01001001,9.42E-05,8.06E-05
0.02002002,9.19E-05,8.21E-05
0.03003003,9.26E-05,8.33E-05
0.04004004,9.07E-05,8.33E-05
0.05005005,9.03E-05,8.30E-05
0.06006006,8.98E-05,8.47E-05
0.07007007,8.92E-05,8.55E-05
0.08008008,8.76E-05,8.82E-05
0.09009009,8.76E-05,8.68E-05
0.1001001,8.50E-05,8.79E-05
0.11011011,8.49E-05,9.02E-05
0.12012012,8.61E-05,8.91E-05
0.13013013,8.36E-05,8.89E-05
0.14014015,8.21E-05,8.99E-05
0.15015015,8.21E-05,9.11E-05
0.16016015,7.89E-05,9.24E-05
0.17017017,7.94E-05,9.19E-05
0.18018018,7.81E-05,9.35E-05
0.1901902,7.91E-05,9.45E-05
0.2002002,7.66E-05,9.55E-05
0.2102102,7.68E-05,9.49E-05
0.22022022,7.61E-05,9.54E-05
0.23023023,7.30E-05,9.64E-05
0.24024025,7.41E-05,9.73E-05
0.25025025,7.34E-05,9.83E-05
0.26026025,7.21E-05,0.00010025501
0.27027026,7.12E-05,9.93E-05
0.2802803,7.09E-05,9.89E-05
0.2902903,6.90E-05,0.000100553036
0.3003003,6.97E-05,9.94E-05
0.3103103,6.88E-05,0.00010073185
0.3203203,6.96E-05,0.00010275841
0.33033034,6.56E-05,0.00010240078
0.34034035,6.63E-05,0.000102460384
0.35035035,6.34E-05,0.00010538101
0.36036035,6.60E-05,0.00010430813
0.37037036,6.19E-05,0.00010603666
0.3803804,6.31E-05,0.000105798244
0.3903904,6.16E-05,0.000105798244
0.4004004,6.14E-05,0.00010681152
0.4104104,6.01E-05,0.00010854006
0.4204204,5.90E-05,0.000107228756
0.43043044,5.80E-05,0.000108242035
0.44044045,5.87E-05,0.0001090765
0.45045045,5.64E-05,0.00010961294
0.46046045,5.67E-05,0.00010973215
0.47047046,5.52E-05,0.00011020899
0.4804805,5.30E-05,0.00011122227
0.4904905,5.42E-05,0.00011074543
0.5005005,5.41E-05,0.00011366606
0.5105105,5.24E-05,0.00011283159
0.5205205,5.31E-05,0.00011533499
0.5305305,5.36E-05,0.00011461973
0.5405405,5.34E-05,0.00011450052
0.5505506,5.15E-05,0.000113487244
0.5605606,5.01E-05,0.0001167655
0.5705706,5.03E-05,0.00011616945
0.5805806,5.02E-05,0.00011599064
0.5905906,4.66E-05,0.00011467934
0.6006006,4.71E-05,0.00011950731
0.6106106,4.71E-05,0.00011855364
0.6206206,4.82E-05,0.00011616945
0.6306306,4.76E-05,0.000118911266
0.6406406,4.58E-05,0.000117361546
0.6506507,4.59E-05,0.00012153387
0.6606607,4.48E-05,0.000119149685
0.6706707,4.44E-05,0.000120699406
0.6806807,4.56E-05,0.000119030476
0.6906907,4.52E-05,0.00011795759
0.7007007,4.29E-05,0.00012141466
0.7107107,4.43E-05,0.00012040138
0.7207207,4.36E-05,0.00012135506
0.7307307,4.24E-05,0.00012135506
0.7407407,4.30E-05,0.00012266636
0.7507508,4.14E-05,0.00012260675
0.7607608,4.07E-05,0.000121831894
0.7707708,4.07E-05,0.00012260675
0.7807808,4.02E-05,0.00012356043
0.7907908,3.92E-05,0.00012260675
0.8008008,4.15E-05,0.00012165308
0.8108108,3.97E-05,0.00012427568
0.8208208,3.90E-05,0.00012165308
0.8308308,3.82E-05,0.00012415648
0.8408408,3.86E-05,0.00012272596
0.8508509,3.92E-05,0.00012373924
0.8608609,3.78E-05,0.00012463331
0.8708709,3.89E-05,0.00012469292
0.8808809,3.93E-05,0.00012391806
0.8908909,3.95E-05,0.00012308359
0.9009009,3.97E-05,0.00012344122
0.9109109,3.80E-05,0.00012558699
0.9209209,3.71E-05,0.00012481213
0.9309309,3.79E-05,0.0001244545
0.9409409,3.84E-05,0.00012606382
0.950951,3.83E-05,0.00012654066
0.960961,3.81E-05,0.00012546778
0.970971,3.80E-05,0.00012385845
0.980981,3.92E-05,0.00012391806
0.990991,3.74E-05,0.0001245141
1.001001,3.79E-05,0.00012308359
1.011011,3.82E-05,0.00012224913
1.021021,3.95E-05,0.00012528896
1.031031,3.94E-05,0.00012356043
1.041041,3.92E-05,0.00012397766
1.051051,4.01E-05,0.00012463331
1.061061,3.98E-05,0.00012224913
